=== BAHUNG LMS ALL ROWS ===
Row 2 | Code: LMS-001 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 3 | Code: LMS-002 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Tạo mới khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 4 | Code: LMS-003 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Sao chép khóa học | Phase: 1 | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 5 | Code: LMS-004 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Xóa / Ẩn khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 6 | Code: LMS-005 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Gán khóa học theo chức danh | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 7 | Code: LMS-006 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Gán khóa học theo loại nhân sự | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 8 | Code: LMS-007 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Gán khóa học theo cửa hàng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 9 | Code: LMS-008 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Gán khóa học theo bộ phận sản xuất | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 10 | Code: LMS-009 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Đặt khóa học bắt buộc | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 11 | Code: LMS-010 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Đặt khóa học tùy chọn | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 12 | Code: LMS-011 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Cấu hình thời hạn hoàn thành khóa học | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 13 | Code: LMS-012 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Cấu hình điểm đạt khóa học | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 14 | Code: LMS-013 | Domain: Quản lý video đào tạo | Sub: Video | Name: Tải lên video | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 15 | Code: LMS-014 | Domain: Quản lý video đào tạo | Sub: Video | Name: Tạo bài giảng dạng tài liệu PDF | Phase: HỦY | BE: Done | FE: Done | All: Done | Test: 
Row 16 | Code: LMS-015 | Domain: Quản lý video đào tạo | Sub: Video | Name: Tạo bài giảng dạng trang văn bản | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 17 | Code: LMS-016 | Domain: Quản lý video đào tạo | Sub: Video | Name: Tạo bài giảng dạng hình ảnh / checklist | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 18 | Code: LMS-017 | Domain: Quản lý video đào tạo | Sub: Video | Name: Sắp xếp thứ tự bài giảng trong khóa | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 19 | Code: LMS-018 | Domain: Quản lý video đào tạo | Sub: Video | Name: Ẩn / hiện bài giảng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 20 | Code: LMS-019 | Domain: Quản lý video đào tạo | Sub: Video | Name: Gắn tài liệu SOP vận hành cửa hàng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 21 | Code: LMS-020 | Domain: Quản lý video đào tạo | Sub: Video | Name: Gắn tài liệu SOP sản xuất | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 22 | Code: LMS-021 | Domain: Quản lý video đào tạo | Sub: Video | Name: Phiên bản hóa học liệu | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 23 | Code: LMS-022 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Tạo khóa đào tạo ATTP bắt buộc | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 24 | Code: LMS-023 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Ghi nhận hoàn thành khóa ATTP nội bộ | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 25 | Code: LMS-024 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Ghi nhận chứng chỉ ATTP bên ngoài | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 26 | Code: LMS-025 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Lưu ngày cấp chứng chỉ ATTP | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 27 | Code: LMS-026 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Lưu ngày hết hạn chứng chỉ ATTP | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 28 | Code: LMS-027 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Cảnh báo chứng chỉ ATTP sắp hết hạn | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 29 | Code: LMS-028 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Cảnh báo chứng chỉ ATTP đã hết hạn | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 30 | Code: LMS-029 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Chặn xếp ca nếu thiếu ATTP còn hiệu lực | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 31 | Code: LMS-030 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: In / xuất giấy xác nhận ATTP | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
