=== HORECA LMS ALL ROWS ===
Row 2 | Code: LMS-001 | Domain: Đào tạo & Đánh giá nội bộ | Sub: Quản lý Kho khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 3 | Code: LMS-002 | Domain: Đào tạo & Đánh giá nội bộ | Sub: Quản lý Kho khóa học | Name: Đăng tải và quản lý video bài giảng | Phase: 1 | BE: Done | FE: Done | All: Done
Row 4 | Code: LMS-003 | Domain: Đào tạo & Đánh giá nội bộ | Sub: Đánh giá năng lực | Name: Tạo bài kiểm tra trắc nghiệm | Phase: 1 | BE: Done | FE: Done | All: Done
Row 5 | Code: LMS-004 | Domain: Đào tạo & Đánh giá nội bộ | Sub: Đánh giá năng lực | Name: Theo dõi tiến độ và đồng bộ HRM | Phase: 1 | BE: Done | FE: Done | All: Done
Row 6 | Code: LMS-005 | Domain: Quản lý Khóa học B2C/B2B | Sub: Phân phối khóa học khách hàng | Name: Cấp tài khoản & kích hoạt thủ công | Phase: 1 | BE: Done | FE: Done | All: Done
Row 7 | Code: LMS-006 | Domain: Quản lý Khóa học B2C/B2B | Sub: Tương tác & Hỗ trợ học viên | Name: Gửi bình luận dưới bài học | Phase: 1 | BE: Not Started | FE: Not Started | All: Not Started
Row 8 | Code: LMS-007 | Domain: Quản lý Khóa học B2C/B2B | Sub: Tương tác & Hỗ trợ học viên | Name: Tích hợp thông báo qua Zalo OA | Phase: 1 | BE: Not Started | FE: Not Started | All: Not Started
Row 9 | Code: LMS-001 | Domain: Hệ thống học trực tuyến | Sub: Truy cập | Name:   | Phase: 1 | BE: Done | FE: Done | All: Done
Row 10 | Code: LMS-002 | Domain: Hệ thống học trực tuyến | Sub: Truy cập | Name: Trang chủ | Phase: 1 | BE: Done | FE: Done | All: Done
Row 11 | Code: LMS-003 | Domain: Hệ thống học trực tuyến | Sub: Truy cập | Name: Tìm kiếm khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 12 | Code: LMS-004 | Domain: Hệ thống học trực tuyến | Sub: Truy cập | Name: Dashboard học viên | Phase: 1 | BE: Done | FE: Done | All: Done
Row 13 | Code: LMS-005 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Tạo mới khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 14 | Code: LMS-006 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Chỉnh sửa thông tin khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 15 | Code: LMS-007 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Xóa / Ẩn khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 16 | Code: LMS-008 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done
Row 17 | Code: LMS-009 | Domain: Quản lý video đào tạo | Sub: Video | Name: Tải lên video | Phase: 1 | BE: Done | FE: Done | All: Done
Row 18 | Code: LMS-010 | Domain: Quản lý video đào tạo | Sub: Video | Name: Nhúng video từ Youtube | Phase: 1 | BE: Done | FE: Done | All: Done
Row 19 | Code: LMS-011 | Domain: Quản lý video đào tạo | Sub: Video | Name: Quản lý chất lượng video | Phase: 3 | BE: Not Started | FE: Not Started | All: Not Started
Row 20 | Code: LMS-012 | Domain: Quản lý video đào tạo | Sub: Video | Name: Bảo mật video | Phase: 2 | BE: In Progress | FE: In Progress | All: In Progress
Row 21 | Code: LMS-013 | Domain: Webinar | Sub: Webinar | Name: Tạo phòng học trực tuyến | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Cancelled | FE: Cancelled | All: Cancelled
Row 22 | Code: LMS-014 | Domain: Webinar | Sub: Webinar | Name: Quản lý người tham gia | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Cancelled | FE: Cancelled | All: Cancelled
